id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt0497972,Sex and Death 101,Sex and Death 101,2007,117,"Comedy,Drama,Fantasy",5.9,11315,actor,Roderick Blank,Simon Baker,1969,\N,"actor,producer,director","tt0418819,tt1196946,tt0458352,tt1615147"
tt0498182,Ang mahiwagang daigdig ni Elias Paniki,Ang mahiwagang daigdig ni Elias Paniki,1989,\N,"Action,Drama,Fantasy",5.3,24,actor,Elias Paniki,Ramon Revilla,1927,2020,"actor,producer,miscellaneous","tt0497143,tt0359735,tt0359441,tt0085792"
tt0498311,Re-cycle,Gwai wik,2006,108,"Fantasy,Horror,Mystery",6.0,5071,actress,Tsui Ting-Yin,Angelica Lee,1976,\N,"actress,soundtrack,writer","tt8434152,tt0896815,tt0325655,tt0498311"
tt0498397,Two Front Teeth,Two Front Teeth,2006,85,"Action,Comedy,Fantasy",4.3,212,actor,Ed (Chief Editor),Michael Brecher,\N,\N,actor,"tt0498397,tt0111548,tt4215828,tt1357413"
tt0499261,The Sword of Alexander,Taitei no ken,2007,110,"Action,Comedy,Fantasy",5.6,250,actor,Genkuro Korozu,Hiroshi Abe,1964,\N,actor,"tt4930614,tt0188640,tt1087578,tt5294966"
tt0499318,Cuando el cielo es azul,Cuando el cielo es azul,2005,105,"Fantasy,Romance",7.4,7,actress,\N,Cécica Bernasconi,\N,\N,actress,"tt0361159,tt9174008,tt0499318,tt0110651"
tt0499525,"McDull, the Alumni",Chun tian hua hua tong xue hui,2006,95,"Animation,Comedy,Fantasy",5.2,381,actor,Muscle man #1 carrying hotpot soup,Otto Chi-Kin Chan,\N,\N,actor,"tt3587128,tt21086474,tt0306651,tt0477898"
tt0499549,Avatar,Avatar,2009,162,"Action,Adventure,Fantasy",7.8,1249586,actress,Dr. Grace Augustine,Sigourney Weaver,1949,\N,"actress,soundtrack,producer","tt0118583,tt0499549,tt0095243,tt0078748"
tt0499570,Slipstream,Slipstream,2007,96,"Comedy,Drama,Fantasy",4.8,4809,actor,Harvey Brickman,John Turturro,1957,\N,"actor,writer,director","tt0110932,tt0101410,tt2258345,tt0190590"
tt0499608,Tranced,Tranced,2010,\N,"Drama,Fantasy,Romance",5.7,50,actress,Annie Bodie,Josie Davis,1973,\N,"actress,producer,writer","tt0086681,tt13846948,tt0305973,tt0098749"
tt0756222,Art of the Devil 2,Long khong,2005,100,"Fantasy,Horror,Mystery",5.8,1562,actress,Nut,Chanida Suriyakompon,\N,\N,actress,tt0756222
tt0756238,Ocean Butterfly,Phii seua samut,2006,81,"Comedy,Fantasy,Romance",4.8,37,actor,Kitti,Anant Boonnark,\N,\N,actor,"tt0471303,tt8635122,tt0488338,tt21359858"
tt0756258,Werewolf in Bangkok,Werewolf in Bangkok,2005,89,"Comedy,Fantasy",4.7,75,actor,\N,Sink Dawksadao,\N,\N,actor,tt0756258
tt0756281,33X Around the Sun,33X Around the Sun,2005,83,Fantasy,7.0,14,actor,The DOP,Steve Ormond,\N,\N,actor,tt0756281
tt0756683,The Man from Earth,The Man from Earth,2007,87,"Drama,Fantasy,Mystery",7.9,188677,actor,Harry,John Billingsley,1960,\N,"actor,soundtrack","tt0756683,tt1190080,tt0244365,tt0313443"
tt0757378,My Kung Fu Sweetheart,Ye man mi ji,2006,90,"Action,Comedy,Fantasy",5.4,219,actor,\N,Kar Lok Chin,1965,\N,"actor,stunts,miscellaneous","tt1740002,tt0808357,tt7521990,tt1075419"
tt0758742,Death Note,Death Note: Desu nôto,2006,126,"Crime,Drama,Fantasy",7.5,30710,actor,Light Yagami,Tatsuya Fujiwara,1982,\N,"actor,miscellaneous","tt1309449,tt0338763,tt0758742,tt0266308"
tt0760329,The Water Horse,The Water Horse,2007,112,"Adventure,Family,Fantasy",6.4,41388,actress,Anne MacMorrow,Emily Watson,1967,\N,"actress,soundtrack","tt0272338,tt0280707,tt0289765,tt0115751"
tt0762073,Thirst,Bakjwi,2009,134,"Drama,Fantasy,Horror",7.1,47873,actor,Sang-hyun,Song Kang-ho,1967,\N,actor,"tt0353969,tt6751668,tt1706620,tt0468492"
tt0762131,Scarlet Moon,Scarlet Moon,2006,90,"Fantasy,Horror",4.3,58,actor,Andreas,Dominic Gregoria,\N,\N,"actor,producer,miscellaneous","tt0762131,tt1283894,tt1337627,tt0390262"
tt0763831,A Thousand Words,A Thousand Words,2012,91,"Comedy,Drama,Fantasy",5.8,43099,actress,Caroline McCall,Kerry Washington,1977,\N,"actress,producer,soundtrack","tt0206275,tt1853728,tt0350258,tt1837576"
tt0764235,Dyuymovochka,Dyuymovochka,2007,\N,"Family,Fantasy,Musical",6.3,47,actor,Maestro,Albert Filozov,1937,2016,actor,"tt0307245,tt0153489,tt0081609,tt0284595"
tt0764796,"Juan Tanga, super naman, at ang kambal na tiyanak","Juan Tanga, super naman, at ang kambal na tiyanak",1990,\N,"Action,Comedy,Fantasy",6.1,13,actress,Adora,Lotlot De Leon,1971,\N,actress,"tt3785036,tt1168670,tt3748466,tt5585374"
